ts,apf,avoltage,acurrent,awattage,bpf,bvoltage,bcurrent,bwattage
1606943024,856,12184,1200,124,910,12187,1400,154
1606943026,855,12180,1200,124,910,12183,1400,154
1606943028,858,12221,1200,125,920,12224,1400,157
1606943030,856,12186,1200,124,915,12189,1400,155
1606943032,857,12197,1200,125,915,12200,1400,155
1606943034,856,12190,1200,124,914,12193,1400,155
1606943036,855,12193,1200,124,916,12196,1400,155
1606943038,855,12181,1200,124,913,12184,1400,155
1606943040,856,12191,1200,124,913,12194,1400,155
1606943042,854,12182,1200,124,912,12185,1400,155
1606943044,855,12187,1200,124,911,12190,1400,154
1606943046,854,12181,1200,124,913,12184,1400,155
1606943048,855,12190,1200,124,914,12193,1400,155
1606943050,854,12184,1160,120,912,12187,1400,155
1606943052,846,12194,1160,119,915,12198,1400,155
1606943054,844,12187,1160,119,915,12190,1400,155
1606943056,845,12194,1160,119,918,12197,1400,156
1606943058,844,12189,1160,119,914,12192,1400,155
1606943060,847,12203,1160,119,917,12206,1400,155
1606943062,844,12190,1160,119,918,12193,1400,156
1606943064,845,12195,1160,119,918,12198,1400,156
1606943066,844,12186,1160,119,917,12189,1400,155
1606943068,845,12191,1160,119,916,12194,1400,155
1606943070,843,12179,1160,118,923,12182,1400,156
1606943072,845,12196,1160,119,924,12199,1400,157
1606943074,846,12187,1160,119,914,12190,1400,155
1606943076,845,12198,1160,119,920,12201,1400,156
1606943084,845,12193,1160,119,923,12196,1400,156
1606943086,845,12185,1160,119,914,12188,1400,155
1606943088,845,12192,1160,119,920,12196,1400,156
1606943090,846,12185,1160,119,915,12188,1400,155
1606943092,847,12193,1160,119,914,12196,1400,155
1606943094,844,12180,1160,119,918,12183,1400,156
1606943096,845,12190,1160,119,913,12193,1400,155
1606943098,843,12169,1160,118,910,12172,1400,154
1606943100,844,12173,1160,119,917,12176,1400,155
1606943102,846,12185,1160,119,911,12188,1400,154
1606943104,844,12190,1160,119,910,12193,1400,154
1606943106,845,12194,1160,119,912,12197,1400,155
1606943108,845,12186,1160,119,922,12189,1360,152
1606943110,848,12204,1160,119,914,12207,1400,155
1606943112,845,12197,1160,119,905,12200,1400,153
1606943114,848,12203,1160,119,917,12206,1360,152
1606943116,846,12192,1160,119,913,12195,1360,150
1606943118,848,12202,1160,119,913,12206,1360,151
1606943120,847,12197,1160,119,913,12201,1360,150
1606943122,849,12218,1160,119,911,12221,1360,151
1606943124,847,12205,1160,119,909,12208,1360,150
1606943126,846,12205,1160,119,910,12208,1360,151
1606943128,845,12196,1160,119,906,12199,1360,149
1606943130,848,12209,1160,119,909,12213,1360,150
1606943132,848,12202,1160,119,904,12205,1360,149
1606943134,848,12214,1160,119,904,12217,1360,150
1606943136,847,12209,1160,119,916,12212,1320,147
1606943138,849,12217,1160,119,917,12220,1320,147
1606943140,848,12214,1160,119,916,12217,1320,147
1606943142,850,12228,1160,119,908,12231,1320,146
1606943144,848,12211,1160,119,913,12214,1320,146
1606943146,850,12218,1160,119,912,12221,1320,146
1606943148,846,12201,1160,119,911,12204,1320,146
1606943150,850,12211,1160,119,909,12214,1320,146
1606943152,849,12214,1160,119,907,12217,1320,146
1606943154,851,12227,1160,119,902,12230,1320,145
1606943156,851,12219,1160,119,907,12222,1320,146
1606943158,850,12231,1160,119,901,12234,1360,149
1606943160,850,12226,1160,119,896,12229,1320,144
1606943162,851,12236,1160,119,896,12240,1320,144
1606943164,850,12224,1160,119,894,12227,1320,143
1606943166,851,12228,1160,119,894,12231,1320,143
1606943168,848,12217,1160,119,910,12220,1320,146
1606943170,851,12232,1160,119,912,12235,1320,146
1606943172,849,12219,1160,119,901,12222,1320,145
1606943174,851,12233,1160,119,907,12236,1320,146
1606943176,851,12223,1160,119,909,12226,1320,146
1606943178,850,12230,1160,119,906,12233,1320,145
1606943180,844,12226,1160,119,910,12229,1320,146
1606943182,858,12243,1160,121,906,12246,1320,145
1606943184,857,12223,1160,120,905,12226,1320,145
1606943186,857,12234,1160,120,904,12237,1320,145
1606943188,844,12221,1160,119,903,12224,1320,145
1606943190,853,12238,1160,120,904,12241,1320,145
1606943192,851,12225,1160,119,901,12228,1320,145
1606943194,854,12241,1160,120,899,12244,1320,144
1606943196,856,12231,1160,120,901,12234,1320,145
1606943198,858,12241,1160,120,899,12244,1320,144
1606943200,860,12245,1160,122,893,12248,1320,143
1606943202,859,12238,1160,121,897,12241,1320,144
1606943204,860,12250,1160,122,904,12253,1320,145
1606943206,853,12237,1160,120,899,12241,1320,144
1606943208,853,12235,1160,120,898,12238,1320,144
1606943210,853,12235,1160,120,894,12238,1320,143
1606943212,854,12248,1160,121,897,12251,1320,144
1606943214,853,12233,1160,120,892,12236,1320,143
1606943216,853,12245,1160,121,897,12248,1320,144
1606943218,853,12235,1160,120,893,12238,1320,143
1606943220,856,12248,1160,121,900,12251,1320,144
1606943222,854,12239,1160,120,901,12242,1280,140
1606943224,854,12249,1160,121,896,12252,1320,144
1606943226,853,12231,1160,120,898,12234,1280,140
1606943228,853,12246,1160,121,892,12249,1320,143
1606943230,852,12237,1160,120,894,12240,1320,143
